candidate,contest,reporting_unit,votes,county,ctv,municipality
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,NA,ONEIDA,T,PINE LAKE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,NA,ONEIDA,T,SCHOEPKE
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,NA,ONEIDA,T,STELLA
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,NA,ONEIDA,T,SUGAR CAMP
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,NA,ONEIDA,T,THREE LAKES
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,NA,ONEIDA,T,WOODBORO
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,NA,ONEIDA,T,WOODRUFF
KAMALA D. HARRIS / TIM WALZ,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,NA,ONEIDA,C,RHINELANDER
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,NA,ONEIDA,T,PINE LAKE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,NA,ONEIDA,T,SCHOEPKE
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,NA,ONEIDA,T,STELLA
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,NA,ONEIDA,T,SUGAR CAMP
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,NA,ONEIDA,T,THREE LAKES
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,NA,ONEIDA,T,WOODBORO
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,NA,ONEIDA,T,WOODRUFF
DONALD J. TRUMP / JD VANCE,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,NA,ONEIDA,C,RHINELANDER
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,NA,ONEIDA,T,PINE LAKE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,NA,ONEIDA,T,SCHOEPKE
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,NA,ONEIDA,T,STELLA
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,NA,ONEIDA,T,SUGAR CAMP
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,NA,ONEIDA,T,THREE LAKES
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,NA,ONEIDA,T,WOODBORO
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,NA,ONEIDA,T,WOODRUFF
RANDALL TERRY / STEPHEN BRODEN,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,NA,ONEIDA,C,RHINELANDER
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,NA,ONEIDA,T,PINE LAKE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,NA,ONEIDA,T,SCHOEPKE
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,NA,ONEIDA,T,STELLA
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,NA,ONEIDA,T,SUGAR CAMP
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,NA,ONEIDA,T,THREE LAKES
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,NA,ONEIDA,T,WOODBORO
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,NA,ONEIDA,T,WOODRUFF
CHASE RUSSELL OLIVER / MIKE TER MAAT,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,NA,ONEIDA,C,RHINELANDER
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,NA,ONEIDA,T,PINE LAKE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,NA,ONEIDA,T,SCHOEPKE
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,NA,ONEIDA,T,STELLA
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,NA,ONEIDA,T,SUGAR CAMP
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,NA,ONEIDA,T,THREE LAKES
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,NA,ONEIDA,T,WOODBORO
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,NA,ONEIDA,T,WOODRUFF
JILL STEIN / RUDOLPH WARE,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,NA,ONEIDA,C,RHINELANDER
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,NA,ONEIDA,T,PINE LAKE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,NA,ONEIDA,T,SCHOEPKE
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,NA,ONEIDA,T,STELLA
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,NA,ONEIDA,T,SUGAR CAMP
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,NA,ONEIDA,T,THREE LAKES
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,NA,ONEIDA,T,WOODBORO
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,NA,ONEIDA,T,WOODRUFF
CLAUDIA DE LA CRUZ / KARINA GARCIA,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,NA,ONEIDA,C,RHINELANDER
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T PINE LAKE W 1-4,NA,ONEIDA,T,PINE LAKE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T SCHOEPKE W 1,NA,ONEIDA,T,SCHOEPKE
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T STELLA W 1-2,NA,ONEIDA,T,STELLA
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T SUGAR CAMP W 1-2,NA,ONEIDA,T,SUGAR CAMP
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T THREE LAKES W 1-4,NA,ONEIDA,T,THREE LAKES
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T WOODBORO W 1,NA,ONEIDA,T,WOODBORO
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,T WOODRUFF W 1-3,NA,ONEIDA,T,WOODRUFF
CORNEL WEST / MELINA ABDULLAH,1) PRESIDENT / VICE PRESIDENT,C RHINELANDER W 1-17,NA,ONEIDA,C,RHINELANDER
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T CASSIAN W 1-2,NA,ONEIDA,T,CASSIAN
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T CRESCENT W 1-3,NA,ONEIDA,T,CRESCENT
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T ENTERPRISE W 1,NA,ONEIDA,T,ENTERPRISE
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T HAZELHURST W 1-2,NA,ONEIDA,T,HAZELHURST
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T LAKE TOMAHAWK W 1-2,NA,ONEIDA,T,LAKE TOMAHAWK
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T LITTLE RICE W 1,NA,ONEIDA,T,LITTLE RICE
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T LYNNE W 1,NA,ONEIDA,T,LYNNE
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T MINOCQUA W 1-7,NA,ONEIDA,T,MINOCQUA
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T MONICO W 1,NA,ONEIDA,T,MONICO
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 1,NA,ONEIDA,T,NEWBOLD
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T NEWBOLD W 2-4,NA,ONEIDA,T,NEWBOLD
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T NOKOMIS W 1-2,NA,ONEIDA,T,NOKOMIS
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T PELICAN W 1- 4,NA,ONEIDA,T,PELICAN
ROBERT F. KENNEDY JR. / NICOLE SHANAHAN,1) PRESIDENT / VICE PRESIDENT,T PIEHL W 1,NA,ONEIDA,T,PIEHL
